"filename", "language", "YAML", "Dart", "Markdown", "ApexLog", "C++", "XML", "JSON", "Swift", "HTML", "Gradle", "Properties", "Kotlin", "comment", "blank", "total"
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\social_story_communication_setup_state.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\social_story_cubit\open_voce_social_stories_cubit.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\social_story_cubit\open_voce_social_stories_state.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\social_story_cubit\social_stories_view_cubit.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 63
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\social_story_cubit\social_stories_view_state.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\social_story_cubit\social_story_comm_detail_cubit_cubit.dart", "Dart", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 77
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\social_story_cubit\social_story_comm_detail_cubit_state.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 30
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\social_story_cubit\social_story_editor_cubit.dart", "Dart", 0, 261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36, 298
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\social_story_cubit\social_story_editor_state.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 56
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\social_story_cubit\social_story_manager_cubit.dart", "Dart", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 118
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\social_story_cubit\social_story_manager_state.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\speech_to_text_cubit.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\speech_to_text_state.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\table_context_cubit.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 43
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\table_context_state.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\table_list_cubit.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\table_list_state.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\table_panel_cubit.dart", "Dart", 0, 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 23, 213
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\table_panel_state.dart", "Dart", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 46
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\tables_screen_cubit.dart", "Dart", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22, 119
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\tables_screen_state.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29
"c:\Users\Admin\Documents\GitLab\voce\lib\exceptions\voce_api_exception.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Admin\Documents\GitLab\voce\lib\main.dart", "Dart", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 46
"c:\Users\Admin\Documents\GitLab\voce\lib\models\autism_centre.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34
"c:\Users\Admin\Documents\GitLab\voce\lib\models\autism_centre.g.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 22
"c:\Users\Admin\Documents\GitLab\voce\lib\models\caa_audio_record.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 30
"c:\Users\Admin\Documents\GitLab\voce\lib\models\caa_audio_record.g.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 26
"c:\Users\Admin\Documents\GitLab\voce\lib\models\caa_multimedia_content.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Admin\Documents\GitLab\voce\lib\models\caa_table.dart", "Dart", 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 156
"c:\Users\Admin\Documents\GitLab\voce\lib\models\caa_table.g.dart", "Dart", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 77
"c:\Users\Admin\Documents\GitLab\voce\lib\models\comunicative_session.dart", "Dart", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 90
"c:\Users\Admin\Documents\GitLab\voce\lib\models\comunicative_session.g.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Admin\Documents\GitLab\voce\lib\models\constants\constant_graphics.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Admin\Documents\GitLab\voce\lib\models\enums\grammatical_type.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Admin\Documents\GitLab\voce\lib\models\enums\image_context.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Admin\Documents\GitLab\voce\lib\models\enums\patient_operation.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Admin\Documents\GitLab\voce\lib\models\enums\social_story_view_type.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Admin\Documents\GitLab\voce\lib\models\enums\table_format.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Admin\Documents\GitLab\voce\lib\models\enums\table_operation.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Admin\Documents\GitLab\voce\lib\models\enums\table_scope.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Admin\Documents\GitLab\voce\lib\models\enums\table_sector_number.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Admin\Documents\GitLab\voce\lib\models\enums\vocal_profile.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Admin\Documents\GitLab\voce\lib\models\image.dart", "Dart", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 50
"c:\Users\Admin\Documents\GitLab\voce\lib\models\image.g.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 9, 77
